Player,Team,Rank,Min,Pts,FGM/A,FTM/A,3PM/A,Reb,Ast,Stl,Blk,Tov,Foul,FP,Cost,Value
"Salah Mejri (C, DAL)",DEN,#24,1.6,0.5,0.2-0.3,0.0-0.2,0.0-0.0,0.5,0.0,0.0,0.1,0.1,0.2,1.2,$3500,0.34
"Rashad Vaughn (SG, MIL)",OKC,#4,2.6,0.6,0.2-0.7,0.0-0.1,0.1-0.3,0.2,0.1,0.1,0.0,0.1,0.2,1.09,$3500,0.31
"Nick Collison (FC, OKC)",MIL,#26,1.6,0.3,0.1-0.3,0.0-0.1,0.0-0.0,0.4,0.1,0.0,0.1,0.1,0.3,1.03,$3500,0.29
"Cameron Payne (PG, OKC)",MIL,#26,1,0.5,0.2-0.4,0.0-0.1,0.1-0.2,0.1,0.2,0.1,0.0,0.1,0.1,1.02,$3500,0.29
"Pat Connaughton (GF, POR)",DET,#12,1.4,0.4,0.1-0.5,0.0-0.1,0.0-0.2,0.3,0.1,0.0,0.0,0.1,0.1,0.81,$3500,0.23
"Darrun Hilliard (SG, DET)",POR,#14,1.6,0.6,0.2-0.5,0.0-0.1,0.1-0.2,0.1,0.1,0.0,0.0,0.1,0.1,0.77,$3500,0.22
"Christian Wood (FC, PHI)",MIA,#10,1.1,0.4,0.2-0.4,0.0-0.1,0.0-0.1,0.3,0.0,0.0,0.0,0.0,0.1,0.76,$3500,0.22
"Chris Kaman (FC, POR)",DET,#12,1.1,0.3,0.2-0.4,0.0-0.0,0.0-0.0,0.2,0.1,0.0,0.0,0.1,0.1,0.59,$3500,0.17
"Udonis Haslem (PF, MIA)",PHI,#30,0.8,0.2,0.1-0.2,0.0-0.0,0.0-0.0,0.2,0.1,0.0,0.0,0.0,0.1,0.59,$3500,0.17
"Tyler Ennis (PG, MIL)",OKC,#4,1.2,0.4,0.1-0.3,0.0-0.1,0.0-0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.57,$3500,0.16
"Chris Copeland (F, MIL)",OKC,#4,0.9,0.3,0.1-0.3,0.0-0.0,0.1-0.2,0.1,0.1,0.0,0.0,0.0,0.1,0.57,$0,0
"Jason Thompson (FC, GS)",LAL,#29,0.6,0.2,0.1-0.2,0.0-0.1,0.0-0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.47,$0,0
"Damien Inglis (SF, MIL)",OKC,#4,0.7,0.2,0.1-0.2,0.0-0.0,0.0-0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.32,$3500,0.09
"Anthony Bennett (F, TOR)",HOU,#17,0.4,0.1,0.0-0.1,0.0-0.0,0.0-0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.22,$3500,0.06
"Axel Toupane (SF, DEN)",DAL,#13,0.5,0.1,0.0-0.1,0.0-0.0,0.0-0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.22,$0,0
"Delon Wright (PG, TOR)",HOU,#17,0.3,0.1,0.0-0.1,0.0-0.0,0.0-0.0,0,0.0,0.0,0.0,0.0,0.0,0.1,$3700,0.03
"Jarnell Stokes (PF, MIA)",PHI,#30,0.2,0.1,0.0-0.0,0.0-0.0,0.0-0.0,0,0.0,0.0,0.0,0.0,0.0,0.1,$0,0
